id,object,theta0,theta1,
89.0,2.9880608686248754E-7,5.590464351885371E-4,0.999283986515726,
90.0,2.5709439192611663E-7,5.185605378507874E-4,0.9993358398978283,
91.0,2.2120542139511707E-7,4.810066114193962E-4,0.9993839380807695,
92.0,1.903263547990599E-7,4.461723238487675E-4,0.9994285530144239,
93.0,1.6375783695816152E-7,4.1386072008692964E-4,0.9994699369541752,
94.0,1.408981388497607E-7,3.8388910848019406E-4,0.9995083238871828,
95.0,1.212295295301312E-7,3.560880278245138E-4,0.9995439308553593,
96.0,1.0430655046325835E-7,3.303002892212928E-4,0.9995769591825368,
97.0,8.974592668717047E-8,3.0638008732338656E-4,0.9996075956127641,
98.0,7.721788632803543E-8,2.841921759425867E-4,0.999636013366168,
